"                                                             Average Published Tuition and Fees at Public Institutions by State in Current Dollars and in 2023 Dollars, 2004-05 to 2023-24",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46
,Public Two-Year In-District Tuition and Fees,,,,,,,,,,,,,,,,,,,,,,Public Four-Year In-State Tuition and Fees,,,,,,,,,,,,,,,,,,,,,,,
In 2023 Dollars,2004-05,2005-06,2006-07,  2007-08 ,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,1-Year % Change,5-Year % Change,In 2023 Dollars,2004-05,2005-06,2006-07,  2007-08 ,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,1-Year % Change,5-Year % Change,
Alabama,4416.565208046585,4274.965779569891,4226.324342013889,4143.207600365578,4026.940575026822,4047.0207214839393,4792.357151717906,5451.949838622915,5445.309780743398,5449.609664707092,5498.724704060639,5566.67713749978,5599.925575423913,5589.481266318537,5797.782130788817,5797.011993242638,5824.6528373610145,5563.288280954501,5203.607142857142,5072.1766537556005,-0.025257573351199825,-0.12515224971630567,Alabama,7301.57957781895,7488.236761136711,7442.335686259919,7734.774174552188,8477.171552649055,9247.278415028642,10340.664114608171,10878.067495965572,11633.888362282984,12025.94749104283,12246.632271813482,12574.920535057256,12847.612958630525,13287.494528190273,13125.024772150498,13065.787971271613,12993.61613815473,12796.10058033516,12209.209752466033,11890.061418202122,-0.026139966528091585,-0.09409226842518414,Alabama
Alaska,,,,,,,,,,,,,,,,,,,,,,,Alaska,5561.180897961884,5939.540366999487,6362.2413102678565,6526.768825780593,6644.807058192407,7016.3564604240755,7378.575058585866,7416.555204410973,7705.752710763346,7725.814128010929,7929.81504493262,8649.469559535668,9082.144606899163,9282.53138870757,9524.68435509006,9848.75776176979,10174.461691411165,9949.401728032028,9429.714234797788,9162.659295897583,-0.028320576027077382,-0.03800913979884357,Alaska
Arizona,2255.2328939915296,2383.3325701484887,2518.197562003968,2486.809545822843,2586.61685612834,2734.126714972242,2775.555985733022,2924.4748386229153,2935.7785608508925,3063.6699256984157,3139.623611324917,3192.9584156234755,3260.1304708667394,3243.895377774151,3145.0334168524964,3113.9943581655707,2669.3073665807565,2923.9629567884276,2725.7028054535913,2882.267546159578,0.057440136317404855,-0.08354946859543722,Arizona,6602.182154843832,6943.296068356372,7090.394822172619,7314.406012891743,7931.7235170898675,9342.787533851968,11325.222124706495,12827.717388380848,12957.919165134976,13230.312908093316,13430.221882245878,13720.777379645915,13928.129370943432,13986.179686480089,14060.439036865217,14209.839343909185,13955.936147807277,13340.7272236628,12731.909877772248,12582.526777648729,-0.01173296870285867,-0.10511138772704987,Arizona
Arkansas,3033.9601172578077,3100.5246313364046,3178.086682167658,3153.4987004562504,3261.324712614315,3389.8609636100064,3541.3233269206066,3620.584144701452,3721.6720957429193,3946.3552712128558,4103.689100993383,4390.448280586273,4501.253885959677,4504.023966832571,4469.971824213708,4488.684496116734,4592.539375742392,4387.003635437136,4303.437228915663,4354.946734305643,0.011969386945829719,-0.025732844508096653,Arkansas,7416.526839465324,7798.289224270351,8061.266171378968,8258.39065662046,8400.467922648544,8524.545232290933,8841.387030854457,9046.701802044108,9317.500468762248,9519.697618729808,9809.612597224743,10170.727016098162,10517.401219258341,10667.425184603459,10597.263321728296,10808.898352430087,10726.841090174677,10439.902492909809,9904.496373892023,9733.973701560326,-0.01721669289325911,-0.08146344900177283,Arkansas
California,1308.132217046056,1268.3964400921654,1098.2982137896824,933.6598116879358,900.557433709702,1164.6410459501158,1148.651011781377,1521.3795185583645,1890.1405525623488,1870.6137361007895,1844.8395307233031,1835.374774107116,1817.0044481537216,1771.6659370920363,1739.2256148684507,1708.0920556746955,1687.5732697076796,1611.8482692043924,1497.639245873164,1435.9502725794998,-0.041190809778557824,-0.17437377859219816,California,6791.602290232926,7087.360849206347,6900.771511780753,7302.606204845134,7721.498753384763,9337.085496907292,10497.74459485178,12145.203967186657,11969.558143287713,11917.0647760405,11847.795160348018,11957.739760847633,11853.43682528672,12226.9902700718,12026.714343535952,11787.743327144823,11726.131281239546,11222.258265200633,10818.591796274082,10641.455590086805,-0.016373314524010696,-0.11518181224564361,California
Colorado,3590.887694812069,3739.4206159754212,3604.359883928571,3626.965998326436,3622.1158611352366,3945.8095657159365,4378.618386790548,4614.443329747175,4764.646058150473,4916.239538641866,5038.245392365501,5260.385716504385,5434.953731739472,5389.85693537859,5492.336380347303,5622.279196345102,5651.755767663355,5415.178346396845,5089.671258907363,5117.620384366228,0.005491341982048814,-0.06822524514738126,Colorado,6043.635601773424,6932.334617639527,7239.05949751984,8016.494591664978,8227.174536351095,8937.942910779957,9926.925349680814,10702.680580957502,11243.60564071796,11941.171223015404,11991.945105420624,12578.146433713435,13107.519845175888,13487.11885913022,13588.707811254817,13646.881494460897,13568.521247530758,13282.54143070976,12733.087697810004,12702.97388662976,-0.0023650046159208182,-0.06518161527407706,Colorado
Connecticut,3895.2550918475376,3971.1770025601627,4053.3878829365076,4171.232144476276,4238.585776324528,4561.629555740967,4779.734613126902,4744.9638246369,4792.618539900867,4970.236834909445,4994.245264046793,5223.405287723495,5335.740737031861,5377.380414694842,5364.350731610162,5394.045408813852,5334.640268541375,5095.263617896673,4953.299999999999,4972,0.00377526093715308,-0.0731403950338636,Connecticut,10257.828870301746,10576.23402022529,10823.698557167658,11171.468268127053,11417.477369335307,12054.106101045505,12590.280992382688,12531.327097902096,12834.041031668943,13431.938587141049,13752.829993022298,14417.78672627846,15011.150581336891,15196.402192803524,15520.518231815391,16321.471480767863,16804.60941734076,16831.88009606548,16490.000473497657,16403.363186233393,-0.00525392873114261,0.05688244047213997,Connecticut
Delaware,4061.5393510224794,4195.762350296172,4334.870468385114,4419.178337525614,4623.016456819367,4872.292518299299,5012.266720407938,5190.220805244169,5129.4790319035665,5316.888866713657,5546.832664586184,5695.082601756675,5775.455410302966,5888.917762728459,5912.928855527722,5915.356744428505,5843.78514012039,5581.066811245171,5219.775,4995,-0.04306220095693769,-0.15524097751820454,Delaware,10732.188696532556,11039.746793394774,11230.250934647816,11516.612653490367,11776.848080263626,12846.689236355498,13496.298762359207,14191.384642280795,14529.706234919027,14780.40372694445,14849.889991107195,15065.236909197405,15200.6923985056,15196.402192803524,15499.623485966431,15879.634615669987,16062.082835827785,15688.775459416955,14828.742949660113,14775.427154142937,-0.003595435951528003,-0.04672347895929152,Delaware
